x1	x2	x3	x4	y
1.570796326794896558e+00	0.000000000000000000e+00	7.853981633974482790e-01	0.000000000000000000e+00	-8.828999999999999204e+01
1.552796111791635569e+00	-1.823776850599332811e+00	7.863484430022132932e-01	1.910872335168371239e-01	-9.657788479518254121e+01
1.495181247008998904e+00	-4.044139261675939068e+00	8.011696182826824053e-01	1.617113682141947617e+00	-1.344996698580253849e+02
1.379420375250528741e+00	-8.126117586287380234e+00	8.741727007894424251e-01	6.683805904763961081e+00	-3.074290765543630641e+02
1.144219134785579906e+00	-1.494825960164490297e+01	1.106235990509322642e+00	1.581369540348016223e+01	-1.084492238578081640e+02
8.815193732262196491e-01	-1.005648988946380840e+01	1.354806140150083937e+00	6.794712558334114583e+00	2.679430617262803480e+02
7.169361918192495020e-01	-6.886417376681050584e+00	1.393717215791095088e+00	-2.358221778978779604e+00	1.184699672051375643e+02
6.124362391105814263e-01	-2.824842054013740444e+00	1.270165270607270358e+00	-9.841086171298071505e+00	3.253040980771565387e+02
6.443247345650735536e-01	7.112012405946617655e+00	9.826090110572791581e-01	-2.015393368475735514e+01	6.507521734865507597e+02
8.392194529627876598e-01	6.834242055534221372e+00	5.135776083878647036e-01	-2.051697465203353232e+01	-7.004674668617952875e+02
8.475257527239261623e-01	-5.024249878360902422e+00	2.190611551558476755e-01	-9.917442542876804268e+00	-4.457379020983834153e+02
6.705525472333648818e-01	-1.244832868431821282e+01	1.310546224463301213e-01	2.468266147358335161e+00	-4.171848199269430211e+02
3.125469484274753795e-01	-2.179383020063412602e+01	3.746932650130129216e-01	1.858799292776190626e+01	1.945511821331168676e+02
-1.942414533572034419e-02	-1.169754817557067206e+01	5.593521670996587369e-01	-7.178344252268455961e-01	3.517110094754454508e+02
-1.766028507022059379e-01	-3.016958398770957395e+00	4.022133483954797861e-01	-1.402152992771007689e+01	6.152096787343717779e+02
-8.981739656682490025e-02	1.118428720376840957e+01	-1.883772349614426522e-02	-2.807651027411527878e+01	2.666548195831417161e+02
4.500312113500992001e-02	-5.588886720464607549e-01	-4.865455667575643295e-01	-1.611160082517237768e+01	-6.865179150539931925e+02
-7.445793865987851423e-02	-1.009844530751722047e+01	-6.910830125384503919e-01	-3.819958262942222849e+00	-3.212838466255162189e+02
-3.548979044455647935e-01	-1.917307871712561251e+01	-5.934386708731589355e-01	1.492845266383724834e+01	-5.725614058128710440e+02
-7.374672044436691998e-01	-1.444750872747644266e+01	-2.921394987291487388e-01	7.434833427793553717e+00	5.481789040991338879e+02
-9.465469870970751876e-01	-7.072371548596764868e+00	-2.981631144926489285e-01	-6.360880636326559312e+00	3.391703696057625166e+02
-1.007393476229703433e+00	1.744602445881898944e+00	-5.077191407006521606e-01	-1.450442385628785935e+01	5.630560925082802441e+02
-8.587399320857191931e-01	1.105483197962059982e+01	-9.074847914286408024e-01	-2.359384353994743577e+01	-1.040048466686097157e+02
-7.244382809251603828e-01	1.679913701864242270e+00	-1.275775184022120978e+00	-1.280213815845625369e+01	-4.185343315555485333e+02
-7.546698270355003402e-01	-3.847117181766515515e+00	-1.464017476670769202e+00	-6.449322220297819541e+00	-1.616060029899530832e+02
-8.539031756198056655e-01	-5.679881848195538652e+00	-1.537352069360155227e+00	-8.697193122462461012e-01	-5.083578864741203773e+01
-9.800158708610215985e-01	-7.191936966814594712e+00	-1.498163760852532445e+00	4.980038854499539092e+00	-1.332130442571214530e+02
-1.160031222338112178e+00	-1.090131074798487809e+01	-1.324678802479184458e+00	1.221606225976332993e+01	-1.440585390585528955e+02
-1.372935520107876339e+00	-8.791500759075578486e+00	-1.076722885208476477e+00	1.033949703804084841e+01	2.767737530371825301e+02
-1.497474561509823054e+00	-4.027598484675923629e+00	-9.282840411169843708e-01	5.144739260981480378e+00	1.785029950501449889e+02
-1.547319268308972484e+00	-1.129152254702497249e+00	-8.468425134509428576e-01	3.369422750218524776e+00	1.242335499808775978e+02
-1.546003008245199428e+00	1.269437174268927881e+00	-7.852587070119086965e-01	2.767982053881560489e+00	1.220264745973977654e+02
-1.495425922968879329e+00	3.823281197437180978e+00	-7.417444636588775841e-01	1.273825946021553079e+00	1.358841061966842858e+02
-1.387986040029109081e+00	7.262480391248029576e+00	-7.538678132108466157e-01	-3.312374971112107769e+00	2.461997282806323426e+02
-1.166390176383532040e+00	1.619092336304719026e+01	-9.339980792436177737e-01	-1.642332534865631288e+01	5.527722312603265209e+02
-8.327037458186610230e-01	1.294005592121230563e+01	-1.264913211991128605e+00	-1.007201006974483803e+01	-4.709496929058090018e+02
-6.356190501549576766e-01	7.774062097929127724e+00	-1.325504863335793981e+00	2.810192600629340731e+00	-1.707816683525888664e+02
-5.281355106691206780e-01	1.870415381152652934e+00	-1.173950014554241639e+00	1.211760445237456274e+01	-4.761967073865123439e+02
-6.195125488339051634e-01	-1.222874079144546755e+01	-8.022731068824150436e-01	2.693332190639114643e+01	-6.367912993776857320e+02
-8.172596697016493161e-01	-2.411020019104171297e+00	-3.071646638072421664e-01	1.728685803085779327e+01	7.931008544614757056e+02
-7.379822829013910068e-01	9.005939694018477937e+00	-7.493905332370144612e-02	5.767150778711005010e+00	3.995329446615238567e+02
-4.665946292731159017e-01	1.998426775364534791e+01	-1.413912071233243695e-01	-1.530679909478914347e+01	8.961518296187903161e+02
-2.974075858378237569e-02	1.633395282440937279e+01	-5.010511378717992237e-01	-8.363841744513251797e+00	-6.914276481320615630e+02
2.000761309957350687e-01	6.956101280186751445e+00	-4.579065900448167081e-01	1.057551284682279480e+01	-5.448383554728260378e+02
1.907759825168568735e-01	-9.978422109232658599e+00	-1.010060967267881193e-01	2.708648239258767987e+01	-1.053073389594898572e+03
-2.497427377185538339e-02	-3.284475739036643915e+00	4.596904946776726453e-01	2.013107364484439898e+01	9.619938502119317718e+02
5.668374073335319396e-02	9.508810833314420563e+00	7.194858909266074187e-01	6.014326194542171322e+00	3.865606266589767301e+02
3.321914477899559071e-01	1.982507361355136766e+01	6.484109013333605454e-01	-1.562341459264311538e+01	8.392102189688812359e+02
7.558754792483775020e-01	1.551416397719965445e+01	2.877278935259308668e-01	-8.928384277265161373e+00	-6.926345393145948037e+02
9.723963109299671448e-01	7.018564790577126011e+00	2.921706469959681751e-01	7.083642636388588265e+00	-3.888799405278429617e+02
1.016854199898071354e+00	-3.647873600564486729e+00	5.262826010113101916e-01	1.660371911156415337e+01	-7.221907594159984001e+02
8.150889966991152757e-01	-1.216199547963060468e+01	9.884794358449127127e-01	2.499982100733760504e+01	5.221004260522746563e+02
7.027208130095128347e-01	-7.802881867046806974e-03	1.338788025434805906e+00	1.160321084133530789e+01	4.057424458511072771e+02
7.625214697520712459e-01	5.073936845144627839e+00	1.502609521161176742e+00	4.910603539312817567e+00	1.324142557119605215e+02
8.828638459832988117e-01	6.778704266687999080e+00	1.534529322824555342e+00	-1.781547271275112143e+00	9.148457511128580677e+01
1.050677229106392385e+00	1.084207349374646689e+01	1.415305270350811995e+00	-1.092823427435403261e+01	3.326467575598024951e+02
1.311408288163231850e+00	1.260699971106697781e+01	1.120417275383620792e+00	-1.471054265078287493e+01	-3.356539040157911700e+02
1.489032648207932352e+00	5.628489918579352214e+00	9.198926703307225283e-01	-6.101620194208368986e+00	-2.447939163379987235e+02
1.562973874495101390e+00	2.114144518649666793e+00	8.337089719506235452e-01	-3.172457438105222405e+00	-1.335980465441533624e+02
1.580364057868065997e+00	-3.303335251389309946e-01	7.781089903023413745e-01	-2.522999601626612964e+00	-1.180938542027083145e+02
1.549526276339064923e+00	-2.784506599279807482e+00	7.337298688189475282e-01	-1.704332261233097334e+00	-1.291565513882610219e+02
1.465773289863140816e+00	-5.767426221842669065e+00	7.253400618756382645e-01	1.515860392568134651e+00	-1.910394051272914453e+02
1.289711260314502228e+00	-1.365459513820265691e+01	8.467986029641436652e-01	1.328492950134090655e+01	-7.577628033967489500e+02
9.108696909341853498e-01	-1.690358571096141915e+01	1.257276549852176517e+00	1.695008836908703387e+01	8.122404131611203866e+02
6.803422804819343472e-01	-8.460088233107299516e+00	1.393698176006165301e+00	-7.289922385770903901e-01	1.755171033623388723e+02
5.559402766135220775e-01	-2.899306757910211640e+00	1.270434809759586114e+00	-1.115068694275162642e+01	4.708568800854615688e+02
6.392137467576790577e-01	1.409522772511719779e+01	9.090152002530342834e-01	-2.875810705027776848e+01	1.144860328613249067e+03
8.979276794614559076e-01	3.465664878012058026e+00	3.492618242258579975e-01	-1.823751534066335367e+01	-9.733195893541352461e+02
8.192761156365815367e-01	-9.578997887545209977e+00	1.132769557170382468e-01	-5.224444281648175092e+00	-4.348153397309733350e+02
5.131569622716302126e-01	-2.465285685611002719e+01	2.377010301799797887e-01	2.268124054384089305e+01	-1.316266915890426844e+03
4.589373598530713250e-02	-1.477930464256287024e+01	6.374397231307911138e-01	4.591273480301012455e+00	6.125324235176877892e+02
-1.496880633887447687e-01	-3.788057820667760645e+00	5.154159365071617760e-01	-1.470327108152976869e+01	8.125881547087449235e+02
1.881906238372019202e-04	1.876340279085671980e+01	5.607096739806458063e-03	-3.751336502280250329e+01	3.834038882541403837e+01
1.545295270589392422e-01	-3.674422599160491743e+00	-5.089821340333818833e-01	-1.483179560301078226e+01	-8.210865756550778087e+02
-4.056532215024585830e-02	-1.477700064623207155e+01	-6.333284790926543284e-01	4.476638403636067132e+00	-6.108694761878383588e+02
-5.090828966132201483e-01	-2.477870259549429477e+01	-2.334392523880055026e-01	2.279106562657110757e+01	1.329912132961640054e+03
-8.163600785081644995e-01	-9.572353915450968032e+00	-1.099345919750027989e-01	-5.401902432739373872e+00	4.415519260431710222e+02
-8.925830976273551043e-01	3.596378436079571195e+00	-3.511403166967569933e-01	-1.848582383798222395e+01	9.832004186851073655e+02
-6.357338323309092987e-01	1.372453877119908938e+01	-9.112268233798623829e-01	-2.846620087577574409e+01	-1.140766167897877040e+03
-5.582318620755870597e-01	-3.125349018849040483e+00	-1.269910088920902513e+00	-1.107956873013174004e+01	-4.662335782507699378e+02
-6.867295239901344273e-01	-8.691203549179451926e+00	-1.390907259098393300e+00	-4.907055935024344229e-01	-1.836014885947732296e+02
-9.262075912510695508e-01	-1.761158000118168587e+01	-1.243523386331331748e+00	1.781682218984487776e+01	-8.082466547217236439e+02
-1.303278750201999570e+00	-1.317008412473267853e+01	-8.396594533836287955e-01	1.229973772280790811e+01	7.172024795105436397e+02
-1.475538263364027713e+00	-5.805496562341533107e+00	-7.315978057713039551e-01	1.068011998243056482e+00	1.883054965751301495e+02
-1.560695893501515830e+00	-2.802047791990198267e+00	-7.490808078865444086e-01	-2.221020848415505622e+00	1.374773026634481994e+02
-1.590028311885070211e+00	-1.439266296645580478e-01	-8.048538128839998196e-01	-3.171174972964569960e+00	1.303931855091542218e+02
-1.566116814264816526e+00	2.624043305615213928e+00	-8.761692907998221980e-01	-4.159403686349252283e+00	1.584914168239395167e+02
-1.475566549766237578e+00	7.006184450219197224e+00	-9.909790553522502821e-01	-8.296021920010524298e+00	3.143023359604964639e+02
-1.260138435985656002e+00	1.363849330473106924e+01	-1.249535905503246669e+00	-1.639171826959238132e+01	5.678238404491844449e+01
